order_id,date,customer_id,age,gender,region,product_category,product_name,quantity,unit_price,discount_pct,marketing_spend,revenue
1001,2024-01-03,C021,28,Female,South,Electronics,Wireless Earbuds,1,2500,10,500,2250
1002,2024-01-05,C034,35,Male,North,Clothing,Winter Jacket,2,1800,5,300,3420
1003,2024-01-07,C012,22,Female,East,Beauty,Face Serum,3,650,0,150,1950
1004,2024-01-10,C045,41,Male,West,Electronics,Smart Watch,1,8500,15,800,7225
1005,2024-01-12,C008,19,Female,South,Clothing,Casual Dress,2,999,10,200,1798
1006,2024-01-15,C067,55,Male,North,Home,Air Purifier,1,5500,0,400,5500
1007,2024-01-18,C023,30,Female,East,Beauty,Lipstick Set,4,450,5,100,1710
1008,2024-01-20,C089,27,Male,West,Electronics,Bluetooth Speaker,2,1200,0,250,2400
1009,2024-01-22,C011,38,Female,South,Home,Bedsheet Set,1,1500,10,180,1350
1010,2024-01-25,C056,44,Male,North,Electronics,Laptop Stand,3,800,0,200,2400
1011,2024-02-02,C031,26,Female,East,Clothing,Yoga Pants,2,1100,5,220,2090
1012,2024-02-05,C074,33,Male,West,Beauty,Beard Kit,1,950,0,150,950
1013,2024-02-07,C019,29,Female,South,Electronics,Phone Case,5,299,0,100,1495
1014,2024-02-10,C042,50,Male,North,Home,Table Lamp,2,750,10,160,1350
1015,2024-02-12,C005,23,Female,East,Clothing,Kurti,3,599,0,120,1797
1016,2024-02-15,C088,37,Male,West,Electronics,USB Hub,2,650,5,130,1235
1017,2024-02-18,C027,31,Female,South,Beauty,Moisturizer,4,480,0,90,1920
1018,2024-02-20,C063,46,Male,North,Home,Wall Clock,1,1200,0,200,1200
1019,2024-02-22,C014,25,Female,East,Clothing,Saree,1,3200,10,300,2880
1020,2024-02-25,C091,39,Male,West,Electronics,Gaming Mouse,1,2200,0,350,2200
1021,2024-03-01,C036,28,Female,South,Beauty,Sunscreen SPF50,3,399,5,80,1137
1022,2024-03-04,C052,42,Male,North,Electronics,Keyboard,1,1800,0,280,1800
1023,2024-03-06,C018,24,Female,East,Clothing,Jeans,2,1299,10,250,2338
1024,2024-03-09,C077,48,Male,West,Home,Pressure Cooker,1,2800,5,350,2660
1025,2024-03-11,C003,21,Female,South,Beauty,Kajal,6,180,0,60,1080
1026,2024-03-14,C060,34,Male,North,Electronics,Power Bank,2,1500,10,300,2700
1027,2024-03-16,C025,29,Female,East,Clothing,Leggings,3,499,0,100,1497
1028,2024-03-19,C083,53,Male,West,Home,Mixer Grinder,1,4200,0,500,4200
1029,2024-03-21,C009,27,Female,South,Electronics,Smart Band,1,3500,15,400,2975
1030,2024-03-24,C047,36,Male,North,Beauty,Perfume,2,1800,5,200,3420
1031,2024-04-02,C016,22,Female,East,Clothing,Top,4,599,0,120,2396
1032,2024-04-05,C071,40,Male,West,Electronics,Webcam,1,2900,10,380,2610
1033,2024-04-07,C038,32,Female,South,Home,Curtains,2,1600,0,250,3200
1034,2024-04-10,C055,45,Male,North,Beauty,Hair Wax,3,350,5,70,997
1035,2024-04-12,C007,20,Female,East,Clothing,Shorts,2,799,0,150,1598
1036,2024-04-15,C080,51,Male,West,Electronics,Monitor,1,12000,10,1000,10800
1037,2024-04-18,C029,30,Female,South,Beauty,Night Cream,2,890,0,120,1780
1038,2024-04-20,C064,43,Male,North,Home,Sofa Cover,1,2200,5,280,2090
1039,2024-04-22,C013,26,Female,East,Clothing,Ethnic Dress,1,2500,10,300,2250
1040,2024-04-25,C092,38,Male,West,Electronics,Hard Disk,1,4500,0,500,4500
1041,2024-05-03,C022,27,Female,South,Beauty,Face Wash,5,299,0,80,1495
1042,2024-05-06,C049,44,Male,North,Electronics,Printer,1,7500,5,700,7125
1043,2024-05-08,C017,23,Female,East,Clothing,Blazer,1,3200,10,400,2880
1044,2024-05-11,C076,47,Male,West,Home,Water Heater,1,6500,0,600,6500
1045,2024-05-13,C006,19,Female,South,Beauty,Nail Polish Set,3,250,0,50,750
1046,2024-05-16,C058,35,Male,North,Electronics,Router,1,3200,10,420,2880
1047,2024-05-18,C026,31,Female,East,Clothing,Palazzo,2,899,5,150,1708
1048,2024-05-21,C085,54,Male,West,Home,Vacuum Cleaner,1,8900,0,800,8900
1049,2024-05-23,C010,25,Female,South,Beauty,Compact Powder,4,420,0,90,1680
1050,2024-05-25,C069,39,Male,North,Electronics,Smartwatch Pro,1,15000,15,1200,12750
